rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
17.0,59000.0,Diversified,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",False,D,M,11/1/1935 0:00,Koch,Charles,Chairman and CEO,4/4/2023 5:01,Kansas,Midwest,1935.0,11.0,1.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
19.0,58800.0,Fashion & Retail,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",False,D,M,6/7/1948 0:00,Walton,Jim,Chairman and CEO,4/4/2023 5:01,Arkansas,South,1948.0,6.0,7.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
20.0,57600.0,Fashion & Retail,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,False,D,M,10/27/1944 0:00,Walton,Rob,Director,4/4/2023 5:01,Arkansas,South,1944.0,10.0,27.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
21.0,56700.0,Fashion & Retail,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,D,F,10/7/1949 0:00,Walton,Alice,Philanthropist,4/4/2023 5:01,Texas,South,1949.0,10.0,7.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
23.0,50100.0,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,True,D,M,2/23/1965 0:00,Dell,Michael,Chairman and CEO,4/4/2023 5:01,Texas,South,1965.0,2.0,23.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328339523.0,37.09024,-95.712891
25.0,45100.0,Fashion & Retail,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,True,D,M,2/24/1938 0:00,Knight,Phil,Chairman,4/4/2023 5:01,Oregon,West,1938.0,2.0,24.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
35.0,35000.0,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,U,M,10/15/1968 0:00,Griffin,Ken,Founder & CEO,4/4/2023 5:01,Florida,South,1968.0,10.0,15.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
49.0,28100.0,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,True,D,M,4/25/1938 0:00,Simons,Jim,Founder,4/4/2023 5:01,New York,Northeast,1938.0,4.0,25.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
50.0,27800.0,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,D,M,2/14/1947 0:00,Schwarzman,Stephen,Chairman and CEO,4/4/2023 5:01,New York,Northeast,1947.0,2.0,14.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
72.0,21600.0,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,False,U,F,12/19/1961 0:00,Johnson,Abigail,CEO,4/4/2023 5:01,Massachusetts,Northeast,1961.0,12.0,19.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
76.0,21100.0,Technology,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,True,U,M,2/17/1963 0:00,Huang,Jensen,CEO & President,4/4/2023 5:01,California,West,1963.0,2.0,17.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77.0,21000.0,Fashion & Retail,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,False,D,M,3/19/1933 0:00,Lauder,Leonard,Chairman Emeritus,4/4/2023 5:01,New York,Northeast,1933.0,3.0,19.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
83.0,19100.0,Finance & Investments,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,True,D,M,8/8/1949 0:00,Dalio,Ray,Founder & Co-Chief Investment Officer,4/4/2023 5:01,Connecticut,Northeast,1949.0,8.0,8.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89.0,18500.0,Energy,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,True,U,M,12/11/1945 0:00,Hamm,Harold,Chairman and CEO,4/4/2023 5:01,Oklahoma,South,1945.0,12.0,11.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89.0,18500.0,Finance & Investments,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,True,U,M,9/11/1957 0:00,Tepper,David,President and Founder,4/4/2023 5:01,Florida,South,1957.0,9.0,11.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
94.0,17500.0,Finance & Investments,Steve Cohen,66.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,Point72 Asset Management,True,U,M,6/11/1956 0:00,Cohen,Steve,Founder,4/4/2023 5:01,Connecticut,Northeast,1956.0,6.0,11.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
94.0,17500.0,Finance & Investments,Carl Icahn,87.0,United States,Indian Creek,Investments,Finance & Investments,United States,Icahn Capital Management,True,U,M,2/16/1936 0:00,Icahn,Carl,Founder,4/4/2023 5:01,Florida,South,1936.0,2.0,16.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
97.0,17400.0,Real Estate,Donald Bren,90.0,United States,Newport Beach,Real estate,Real Estate,United States,Irvine Company,True,U,M,5/11/1932 0:00,Bren,Donald,Chairman,4/4/2023 5:01,California,West,1932.0,5.0,11.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
97.0,17400.0,Fashion & Retail,"John Menard, Jr.",83.0,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,"Menard, Inc.",True,U,M,1/22/1940 0:00,Menard,John,Founder,4/4/2023 5:01,Wisconsin,Midwest,1940.0,1.0,22.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
99.0,17100.0,Media & Entertainment,Rupert Murdoch & family,92.0,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,News Corp Class A,False,D,M,3/11/1931 0:00,Murdoch,Rupert,Chairman and CEO,4/4/2023 5:01,New York,Northeast,1931.0,3.0,11.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
113.0,15500.0,Technology,Robert Pera,45.0,United States,San Jose,Wireless networking,Technology,United States,Ubiquiti,True,U,M,3/10/1978 0:00,Pera,Robert,Chief Executive Officer,4/4/2023 5:01,California,West,1978.0,3.0,10.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
116.0,14900.0,Fashion & Retail,David Green & family,81.0,United States,Oklahoma City,Retail,Fashion & Retail,United States,Hobby Lobby,True,U,M,11/13/1941 0:00,Green,David,CEO,4/4/2023 5:01,Oklahoma,South,1941.0,11.0,13.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
130.0,13700.0,Construction & Engineering,Diane Hendricks,76.0,United States,Afton,Building supplies,Construction & Enginering,United States,ABC Supply,True,U,F,3/2/1947 0:00,Hendricks,Diane,Cofounder,4/4/2023 5:01,Wisconsin,Midwest,1947.0,3.0,2.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
130.0,13700.0,Technology,Jan Koum,47.0,United States,Atherton,WhatsApp,Technology,United States,WhatsApp Inc.,True,U,M,2/24/1976 0:00,Koum,Jan,"CEO, cofounder",4/4/2023 5:01,California,West,1976.0,2.0,24.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
133.0,13300.0,Sports,Jerry Jones,80.0,United States,Dallas,Dallas Cowboys,Sports,United States,Dallas Cowboys,True,U,M,10/13/1942 0:00,Jones,Jerry,President and General Manager,4/4/2023 5:01,Texas,South,1942.0,10.0,13.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
133.0,13300.0,Energy,George Kaiser,80.0,United States,Tulsa,"Oil & gas, banking",Energy,United States,BOK Financial Corp.,False,U,M,7/29/1942 0:00,Kaiser,George,Chairman,4/4/2023 5:01,Oklahoma,South,1942.0,7.0,29.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
145.0,12000.0,Technology,Laurene Powell Jobs & family,59.0,United States,Palo Alto,"Apple, Disney",Technology,United States,Emerson Collective,False,D,F,11/6/1963 0:00,Powell Jobs,Laurene,"Investor, Philanthropist",4/4/2023 5:01,California,West,1963.0,11.0,6.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
151.0,11400.0,Fashion & Retail,Michael Rubin,50.0,United States,Bryn Mawr,Online retail,Fashion & Retail,United States,Kynetic,True,U,M,7/21/1972 0:00,Rubin,Michael,CEO,4/4/2023 5:01,Pennsylvania,Northeast,1972.0,7.0,21.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
153.0,11300.0,Finance & Investments,Israel Englander,74.0,United States,New York,Hedge funds,Finance & Investments,United States,"Millennium Management, L.L.C.",True,D,M,9/30/1948 0:00,Englander,Israel,Founder,4/4/2023 5:01,New York,Northeast,1948.0,9.0,30.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
161.0,10900.0,Fashion & Retail,Judy Love & family,85.0,United States,Oklahoma City,Gas stations,Fashion & Retail,United States,Love's Travel Stops and Country Stores,True,U,F,6/17/1937 0:00,Love,Judy,Chairman and CEO,4/4/2023 5:01,Oklahoma,South,1937.0,6.0,17.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
165.0,10600.0,Sports,Robert Kraft,81.0,United States,Brookline,"Manufacturing, New England Patriots",Sports,United States,The Kraft Group,True,U,M,6/5/1941 0:00,Kraft,Robert,Chairman & CEO,4/4/2023 5:01,Massachusetts,Northeast,1941.0,6.0,5.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
171.0,10200.0,Technology,David Duffield,82.0,United States,Incline Village,Business software,Technology,United States,Workday,True,D,M,9/21/1940 0:00,Duffield,David,Chairman and Cofounder,4/4/2023 5:01,Nevada,West,1940.0,9.0,21.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
195.0,9600.0,Technology,Rick Cohen & family,70.0,United States,Keene,Warehouse automation,Technology,United States,C&S Wholesale Grocers,False,N,M,7/25/1952 0:00,Cohen,Rick,Entrepreneur,4/4/2023 5:01,New Hampshire,Northeast,1952.0,7.0,25.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
206.0,9300.0,Technology,Brian Chesky,41.0,United States,San Francisco,Airbnb,Technology,United States,"Airbnb, Inc.",True,D,M,8/29/1981 0:00,Chesky,Brian,CEO and Cofounder,4/4/2023 5:01,California,West,1981.0,8.0,29.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
208.0,9200.0,Finance & Investments,Charles Schwab,85.0,United States,Woodside,Discount brokerage,Finance & Investments,United States,Charles Schwab Corp.,True,D,M,7/29/1937 0:00,Schwab,Charles,Investor,4/4/2023 5:01,California,West,1937.0,7.0,29.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
215.0,9000.0,Technology,David Cheriton,72.0,United States,Palo Alto,Google,Technology,Canada,Stanford University,True,D,M,3/29/1951 0:00,Cheriton,David,Professor,4/4/2023 5:01,California,West,1951.0,3.0,29.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
223.0,8800.0,Technology,John Doerr,71.0,United States,Woodside,Venture capital,Technology,United States,Kleiner Perkins,True,D,M,6/29/1951 0:00,Doerr,John,Investor,4/4/2023 5:01,California,West,1951.0,6.0,29.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
223.0,8800.0,Тechnology,Dustin Moskovitz,38.0,United States,San Francisco,Facebook,Technology,United States,Asana,True,D,M,5/22/1984 0:00,Moskovitz,Dustin,Cofounder,4/4/2023 5:01,California,West,1984.0,5.0,22.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
223.0,8800.0,Technology,Pierre Omidyar,55.0,United States,Honolulu,"EBay, PayPal",Technology,United States,eBay,True,D,M,6/21/1967 0:00,Omidyar,Pierre,Founder,4/4/2023 5:01,Hawaii,West,1967.0,6.0,21.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
232.0,8600.0,Technology,Andreas von Bechtolsheim & family,67.0,United States,Palo Alto,Google,Technology,Germany,Arista Networks,True,D,M,9/30/1955 0:00,von Bechtolsheim,Andreas,"Cofounder, Chief Development Officer and Chairman",4/4/2023 5:01,California,West,1955.0,9.0,30.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
239.0,8500.0,Finance & Investments,"Chase Coleman, III.",47.0,United States,New York,Investments,Finance & Investments,United States,Tiger Global Management,True,D,M,6/21/1975 0:00,Coleman,Chase,Investor,4/4/2023 5:01,New York,Northeast,1975.0,6.0,21.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
242.0,8400.0,Media & Entertainment,Jim Kennedy,75.0,United States,Atlanta,"Media, automotive",Media & Entertainment,United States,Cox Enterprises,False,U,M,11/29/1947 0:00,Kennedy,Jim,Chairman Emeritus,4/4/2023 5:01,Georgia,South,1947.0,11.0,29.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
256.0,8100.0,Food & Beverage,Tilman Fertitta,65.0,United States,Houston,"Houston Rockets, entertainment",Food & Beverage,United States,Landry's Inc,True,U,M,6/25/1957 0:00,Fertitta,Tilman,Chairman and CEO,4/4/2023 5:01,Texas,South,1957.0,6.0,25.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
261.0,8000.0,Fashion & Retail,Bernard Marcus,93.0,United States,Atlanta,Home Depot,Fashion & Retail,United States,Home Depot,True,D,M,5/12/1929 0:00,Marcus,Bernard,"Co-founder, ex chairman of the board",4/4/2023 5:01,Georgia,South,1929.0,5.0,12.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
261.0,8000.0,Finance & Investments,Patrick Ryan,85.0,United States,Winnetka,Insurance,Finance & Investments,United States,Ryan Specialty Group,True,E,M,5/15/1937 0:00,Ryan,Patrick,Chairman and CEO,4/4/2023 5:01,Illinois,Midwest,1937.0,5.0,15.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328339523.0,37.09024,-95.712891
268.0,7900.0,Finance & Investments,David Shaw,72.0,United States,New York,Hedge funds,Finance & Investments,United States,"D. E. Shaw & Co., L.P.",True,U,M,3/29/1951 0:00,Shaw,David,Founder,4/4/2023 5:01,New York,Northeast,1951.0,3.0,29.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
282.0,7700.0,Media & Entertainment,David Geffen,80.0,United States,Beverly Hills,"Movies, record labels",Media & Entertainment,United States,DreamWorks Animation SKG Inc. (Cl A),True,D,M,2/21/1943 0:00,Geffen,David,Cofounder,4/4/2023 5:01,California,West,1943.0,2.0,21.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
282.0,7700.0,Technology,Henry Samueli,68.0,United States,Newport Beach,Semiconductors,Technology,United States,Broadcom,True,U,M,9/20/1954 0:00,Samueli,Henry,"Cofounder, Chief Technology Officer and Chairman",4/4/2023 5:01,California,West,1954.0,9.0,20.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
290.0,7600.0,Тechnology,Joe Gebbia,41.0,United States,Austin,Airbnb,Technology,United States,"Airbnb, Inc.",True,D,M,8/21/1981 0:00,Gebbia,Joe,Cofounder & Chair of Airbnb.org,4/4/2023 5:01,Texas,South,1981.0,8.0,21.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
290.0,7600.0,Real Estate,Leonard Stern,85.0,United States,New York,Real estate,Real Estate,United States,"Hartz Mountain Industries, Inc.",False,U,M,3/28/1938 0:00,Stern,Leonard,Chairman and CEO,4/4/2023 5:01,New York,Northeast,1938.0,3.0,28.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
299.0,7500.0,Sports,Arthur Blank,80.0,United States,Atlanta,Home Depot,Sports,United States,Atlanta Falcons,True,U,M,9/27/1942 0:00,Blank,Arthur,Chairman,4/4/2023 5:01,Georgia,South,1942.0,9.0,27.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
299.0,7500.0,Finance & Investments,"Paul Tudor Jones, II.",68.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Tudor Investment Corporation,True,U,M,9/28/1954 0:00,Jones,Paul Tudor,Founder,4/4/2023 5:01,Florida,South,1954.0,9.0,28.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
299.0,7500.0,Finance & Investments,Henry Kravis,79.0,United States,New York,Private equity,Finance & Investments,United States,KKR & Co.,True,D,M,1/6/1944 0:00,Kravis,Henry,Co-Chair and Co-CEO,4/4/2023 5:01,New York,Northeast,1944.0,1.0,6.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
305.0,7400.0,Technology,James Goodnight,80.0,United States,Cary,Software,Technology,United States,SAS Institute,True,U,M,1/6/1943 4:00,Goodnight,James,CEO,4/4/2023 9:01,North Carolina,South,1943.0,1.0,6.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
305.0,7400.0,Manufacturing,Steven Rales,72.0,United States,Santa Barbara,"Manufacturing, investments",Manufacturing,United States,Danaher,True,D,M,3/31/1951 0:00,Rales,Steven,Investor,4/4/2023 5:01,California,West,1951.0,3.0,31.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
317.0,7200.0,Finance & Investments,Don Hankey,79.0,United States,Malibu,Auto loans,Finance & Investments,United States,Hankey Group,True,U,M,6/13/1943 0:00,Hankey,Don,Chairman,4/4/2023 5:01,California,West,1943.0,6.0,13.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
317.0,7200.0,Energy,Richard Kinder,78.0,United States,Houston,Pipelines,Energy,United States,Kinder Morgan Inc,True,D,M,10/19/1944 0:00,Kinder,Richard,Chairman and CEO,4/4/2023 5:01,Texas,South,1944.0,10.0,19.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
325.0,7100.0,Technology,Judy Faulkner,79.0,United States,Madison,Healthcare software,Technology,United States,Epic Systems,True,U,F,8/1/1943 0:00,Faulkner,Judy,Founder and CEO,4/4/2023 5:01,Wisconsin,Midwest,1943.0,8.0,1.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332.0,7000.0,Technology,Marc Benioff,58.0,United States,San Francisco,Business software,Technology,United States,Salesforce.com,True,D,M,9/25/1964 0:00,Benioff,Marc,Chairman and CEO,4/4/2023 5:01,California,West,1964.0,9.0,25.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332.0,7000.0,Fashion & Retail,Ralph Lauren,83.0,United States,New York,Apparel,Fashion & Retail,United States,Ralph Lauren,True,U,M,10/14/1939 0:00,Lauren,Ralph,Chairman ,4/4/2023 5:01,New York,Northeast,1939.0,10.0,14.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332.0,7000.0,Food & Beverage,J. Christopher Reyes,69.0,United States,Hobe Sound,Food distribution,Food & Beverage,United States,"Reyes Holdings, LLC",True,D,M,12/29/1953 0:00,Reyes,J. Christopher,Co-Chairman,4/4/2023 5:01,Florida,South,1953.0,12.0,29.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332.0,7000.0,Food & Beverage,Jude Reyes,67.0,United States,Palm Beach,Food distribution,Food & Beverage,United States,"Reyes Holdings, LLC",True,D,M,9/16/1955 0:00,Reyes,Jude,Co-Chairman,4/4/2023 5:01,Florida,South,1955.0,9.0,16.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
344.0,6900.0,Finance & Investments,Philippe Laffont,55.0,United States,New York,Hedge fund,Finance & Investments,United States,Coatue Management,True,U,M,9/16/1967 0:00,Laffont,Philippe,Founder,4/4/2023 5:01,New York,Northeast,1967.0,9.0,16.0,117.24,"7,5","$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
